# Region      : all 
# Cells       : 1
# Volume      : 2.500000e+01
# Time        	max(psi4)	max(psi5)	max(psi6)	max(psi7)	max(psi77)	max(psi777)	max(psi8)	max(psiIN)	max(T)	max(Xc)	max(XH2)	max(X1)	max(X2)	max(X3)	max(X4)	max(X5)	max(X6)	max(X7)	max(X77)	max(X777)	max(X8)	max(pH)	max(Hplus)	max(H2)	max(CO2)	max(amm)	max(CH4)
1             	1.179817e-01	9.823306e-02	1.609776e-01	8.576736e-03	1.270750e-02	8.978730e-03	2.932456e-02	1.030002e+02	3.080000e+02	1.211187e+00	4.649684e-03	1.264900e-02	1.264900e-02	1.581124e-02	1.277681e-02	8.454266e-03	6.365420e-03	2.489959e-03	2.536557e-03	1.386921e-03	8.636732e-03	7.000000e+00	1.000000e-04	1.531359e-03	2.714635e-01	3.000000e-02	6.960824e-03
2             	1.386338e-01	7.363856e-02	2.737518e-01	3.431262e-02	4.995905e-02	3.497232e-02	1.186745e-01	1.030010e+02	3.080000e+02	8.089957e-01	6.091319e-03	8.415669e-03	8.415669e-03	1.051959e-02	2.139163e-02	1.845381e-02	6.939400e-03	2.718363e-03	3.098734e-03	1.448780e-03	8.524710e-03	7.000000e+00	1.000000e-04	2.619215e-03	4.968185e-01	3.000000e-02	3.145198e-02
3             	8.689503e-02	2.325072e-02	3.432390e-01	5.649425e-02	8.397289e-02	6.781692e-02	2.258955e-01	1.030017e+02	3.080000e+02	5.655788e-01	8.149350e-03	5.852825e-03	5.852825e-03	7.316031e-03	3.348990e-02	2.763973e-02	7.754102e-03	3.330571e-03	4.726096e-03	1.613849e-03	8.457126e-03	7.000000e+00	1.000000e-04	1.972305e-03	7.756989e-01	3.000000e-02	6.547081e-02
4             	3.866348e-02	1.132818e-02	3.855723e-01	6.440765e-02	9.304156e-02	9.028015e-02	3.111085e-01	1.030020e+02	3.080000e+02	4.183859e-01	9.930298e-03	4.302973e-03	4.302973e-03	5.378716e-03	4.287089e-02	3.200547e-02	8.770694e-03	4.299505e-03	7.951714e-03	1.871916e-03	8.410966e-03	7.000000e+00	1.000000e-04	1.239323e-03	1.104478e+00	3.000000e-02	9.455359e-02
5             	1.989309e-02	7.691021e-03	4.102223e-01	6.564782e-02	8.269394e-02	1.003845e-01	3.831483e-01	1.030021e+02	3.080000e+02	3.294463e-01	1.136846e-02	3.366400e-03	3.366400e-03	4.208001e-03	4.786980e-02	3.466576e-02	9.985033e-03	5.713106e-03	1.308145e-02	2.208910e-03	8.375729e-03	7.000000e+00	1.000000e-04	9.596440e-04	1.471830e+00	3.000000e-02	1.176809e-01
6             	1.360460e-02	5.892418e-03	4.227366e-01	6.140778e-02	6.162871e-02	1.045346e-01	4.524972e-01	1.030022e+02	3.080000e+02	2.757899e-01	1.272567e-02	2.801252e-03	2.801252e-03	3.501565e-03	5.076257e-02	3.654538e-02	1.140577e-02	7.798879e-03	1.935957e-02	2.623353e-03	8.347727e-03	7.000000e+00	1.000000e-04	8.579510e-04	1.872805e+00	3.000000e-02	1.390103e-01
7             	1.087354e-02	4.889766e-03	4.263213e-01	5.146793e-02	4.070536e-02	1.060535e-01	5.201462e-01	1.030023e+02	3.080000e+02	2.435134e-01	1.408341e-02	2.461170e-03	2.461170e-03	3.076462e-03	5.278013e-02	3.797364e-02	1.304694e-02	1.075292e-02	2.505773e-02	3.123253e-03	8.325206e-03	7.000000e+00	1.000000e-04	7.855432e-04	2.303804e+00	3.000000e-02	1.598254e-01
8             	9.408020e-03	4.299640e-03	4.227873e-01	3.746847e-02	2.585316e-02	1.052170e-01	5.853526e-01	1.030024e+02	3.080000e+02	2.241813e-01	1.544914e-02	2.257370e-03	2.257370e-03	2.821713e-03	5.435246e-02	3.913004e-02	1.492408e-02	1.432240e-02	2.920700e-02	3.719831e-03	8.306947e-03	7.000000e+00	1.000000e-04	7.304830e-04	2.758729e+00	3.000000e-02	1.802456e-01
9             	8.542007e-03	3.937082e-03	4.131328e-01	2.398298e-02	1.666427e-02	1.004437e-01	6.490701e-01	1.030024e+02	3.080000e+02	2.126729e-01	1.683327e-02	2.135960e-03	2.135960e-03	2.669949e-03	5.566690e-02	4.011945e-02	1.705117e-02	1.764151e-02	3.201813e-02	4.419756e-03	8.292095e-03	7.000000e+00	1.000000e-04	6.877782e-04	3.231438e+00	3.000000e-02	2.004385e-01
10            	8.000588e-03	3.704294e-03	3.979191e-01	1.470876e-02	1.124946e-02	9.062237e-02	7.125052e-01	1.030025e+02	3.080000e+02	2.058804e-01	1.824306e-02	2.064226e-03	2.064226e-03	2.580282e-03	5.682380e-02	4.100415e-02	1.943735e-02	2.001536e-02	3.394749e-02	5.215022e-03	8.280076e-03	7.000000e+00	1.000000e-04	6.538757e-04	3.717627e+00	3.000000e-02	2.205236e-01
11            	7.644045e-03	3.547091e-03	3.775276e-01	9.656217e-03	8.237039e-03	7.664998e-02	7.767049e-01	1.030025e+02	3.080000e+02	2.019230e-01	1.968460e-02	2.022364e-03	2.022364e-03	2.527955e-03	5.788108e-02	4.182136e-02	2.208299e-02	2.148023e-02	3.531683e-02	6.075746e-03	8.270486e-03	7.000000e+00	1.000000e-04	6.248162e-04	4.214568e+00	3.000000e-02	2.406010e-01
12            	7.395592e-03	3.434729e-03	3.523511e-01	7.201904e-03	6.665635e-03	6.066532e-02	8.421883e-01	1.030026e+02	3.080000e+02	1.996692e-01	2.114959e-02	1.998451e-03	1.998451e-03	2.498063e-03	5.887291e-02	4.259338e-02	2.497517e-02	2.238677e-02	3.634701e-02	6.948241e-03	8.263029e-03	7.000000e+00	1.000000e-04	5.925792e-04	4.720543e+00	3.000000e-02	2.605472e-01
13            	7.211721e-03	3.349511e-03	3.229455e-01	6.046613e-03	5.871658e-03	4.508844e-02	9.086463e-01	1.030027e+02	3.080000e+02	1.984397e-01	2.260625e-02	1.985329e-03	1.985329e-03	2.481661e-03	5.981972e-02	4.333365e-02	2.808258e-02	2.300974e-02	3.718769e-02	7.761357e-03	8.257463e-03	7.000000e+00	1.000000e-04	5.521571e-04	5.234486e+00	3.000000e-02	2.798807e-01
14            	7.067322e-03	3.281119e-03	2.901469e-01	5.489662e-03	5.461497e-03	3.199794e-02	9.751801e-01	1.030027e+02	3.080000e+02	1.978260e-01	2.401047e-02	1.978695e-03	1.978695e-03	2.473369e-03	6.073377e-02	4.405033e-02	3.135096e-02	2.349732e-02	3.792745e-02	8.447590e-03	8.253569e-03	7.000000e+00	1.000000e-04	5.053751e-04	5.755705e+00	3.000000e-02	2.979437e-01
15            	6.947675e-03	3.223450e-03	2.551410e-01	5.200735e-03	5.231791e-03	2.248930e-02	1.040819e+00	1.030028e+02	3.080000e+02	1.975806e-01	2.532680e-02	1.975945e-03	1.975945e-03	2.469932e-03	6.162251e-02	4.474838e-02	3.470069e-02	2.391989e-02	3.861265e-02	8.972763e-03	8.251145e-03	7.000000e+00	1.000000e-04	4.583611e-04	6.283710e+00	3.000000e-02	3.142318e-01
