# Region      : all 
# Cells       : 1
# Volume      : 2.500000e+01
# Time        	max(psi4)	max(psi5)	max(psi6)	max(psi7)	max(psi77)	max(psi777)	max(psi8)	max(psiIN)	max(T)	max(Xc)	max(XH2)	max(X1)	max(X2)	max(X3)	max(X4)	max(X5)	max(X6)	max(X7)	max(X77)	max(X777)	max(X8)	max(pH)	max(Hplus)	max(H2)	max(CO2)	max(amm)	max(CH4)
1             	4.246569e-02	3.576843e-02	5.783092e-02	3.089960e-03	4.583370e-03	3.310116e-03	1.073037e-02	1.030001e+02	3.080000e+02	4.364366e-01	4.377072e-03	4.557406e-03	4.557406e-03	5.696754e-03	1.088829e-02	6.347612e-03	6.195512e-03	2.466101e-03	2.483541e-03	1.378155e-03	8.630197e-03	7.000000e+00	1.000000e-04	5.374791e-04	2.683710e-01	3.000000e-02	2.602786e-03
2             	5.434265e-02	3.682719e-02	9.766704e-02	1.031537e-02	1.525729e-02	1.109434e-02	3.804888e-02	1.030003e+02	3.080000e+02	2.918797e-01	4.782469e-03	3.035881e-03	3.035881e-03	3.794851e-03	1.342927e-02	9.099360e-03	6.380812e-03	2.507859e-03	2.635699e-03	1.384339e-03	8.484834e-03	7.000000e+00	1.000000e-04	8.667670e-04	4.687678e-01	3.000000e-02	1.056273e-02
3             	4.645572e-02	2.255723e-02	1.216362e-01	1.770520e-02	2.618043e-02	2.003362e-02	7.127242e-02	1.030005e+02	3.080000e+02	2.043556e-01	5.347711e-03	2.114418e-03	2.114418e-03	2.643022e-03	1.661509e-02	1.205931e-02	6.673844e-03	2.656606e-03	3.044745e-03	1.427793e-03	8.366887e-03	7.000000e+00	1.000000e-04	8.815878e-04	6.822087e-01	3.000000e-02	2.118300e-02
4             	3.263521e-02	1.203055e-02	1.358502e-01	2.226997e-02	3.279310e-02	2.736626e-02	1.017456e-01	1.030007e+02	3.080000e+02	1.514103e-01	5.915218e-03	1.556953e-03	1.556953e-03	1.946191e-03	1.956128e-02	1.408904e-02	7.038776e-03	2.901138e-03	3.740677e-03	1.505475e-03	8.269419e-03	7.000000e+00	1.000000e-04	7.437932e-04	9.094169e-01	3.000000e-02	3.183298e-02
5             	2.121547e-02	7.319887e-03	1.439530e-01	2.427332e-02	3.472808e-02	3.197055e-02	1.276545e-01	1.030008e+02	3.080000e+02	1.194104e-01	6.415439e-03	1.219992e-03	1.219992e-03	1.524990e-03	2.174974e-02	1.527127e-02	7.457864e-03	3.220596e-03	4.714930e-03	1.610031e-03	8.185617e-03	7.000000e+00	1.000000e-04	6.143067e-04	1.148010e+00	3.000000e-02	4.132197e-02
6             	1.416576e-02	5.281666e-03	1.481350e-01	2.477596e-02	3.334192e-02	3.418858e-02	1.505155e-01	1.030008e+02	3.080000e+02	1.000914e-01	6.853944e-03	1.016533e-03	1.016533e-03	1.270666e-03	2.318379e-02	1.600908e-02	7.921249e-03	3.607921e-03	5.921724e-03	1.734585e-03	8.111407e-03	7.000000e+00	1.000000e-04	5.323760e-04	1.395613e+00	3.000000e-02	4.970203e-02
7             	1.034565e-02	4.273764e-03	1.497204e-01	2.432765e-02	2.996147e-02	3.481675e-02	1.718044e-01	1.030009e+02	3.080000e+02	8.844940e-02	7.256309e-03	8.938957e-04	8.938957e-04	1.117370e-03	2.410191e-02	1.652429e-02	8.422874e-03	4.065749e-03	7.269450e-03	1.874170e-03	8.044554e-03	7.000000e+00	1.000000e-04	4.855848e-04	1.650695e+00	3.000000e-02	5.736457e-02
8             	8.345370e-03	3.716227e-03	1.495152e-01	2.316443e-02	2.570546e-02	3.450294e-02	1.923069e-01	1.030009e+02	3.080000e+02	8.145543e-02	7.641165e-03	8.201918e-04	8.201918e-04	1.025240e-03	2.472072e-02	1.691751e-02	8.958552e-03	4.596889e-03	8.635967e-03	2.025484e-03	7.983730e-03	7.000000e+00	1.000000e-04	4.564058e-04	1.912279e+00	3.000000e-02	6.459829e-02
9             	7.277410e-03	3.386861e-03	1.480157e-01	2.143188e-02	2.142439e-02	3.363562e-02	2.123206e-01	1.030009e+02	3.080000e+02	7.727531e-02	8.017164e-03	7.761122e-04	7.761122e-04	9.701403e-04	2.517441e-02	1.723921e-02	9.524960e-03	5.196495e-03	9.909032e-03	2.186204e-03	7.928030e-03	7.000000e+00	1.000000e-04	4.348169e-04	2.179564e+00	3.000000e-02	7.153712e-02
10            	6.681590e-03	3.183276e-03	1.455345e-01	1.928418e-02	1.762536e-02	3.241054e-02	2.319491e-01	1.030009e+02	3.080000e+02	7.479761e-02	8.387398e-03	7.499574e-04	7.499574e-04	9.374468e-04	2.553625e-02	1.751736e-02	1.011906e-02	5.846711e-03	1.102119e-02	2.354392e-03	7.876763e-03	7.000000e+00	1.000000e-04	4.167440e-04	2.451767e+00	3.000000e-02	7.822922e-02
11            	6.331307e-03	3.051923e-03	1.422770e-01	1.691377e-02	1.449904e-02	3.090975e-02	2.512580e-01	1.030010e+02	3.080000e+02	7.334865e-02	8.752692e-03	7.346359e-04	7.346359e-04	9.182949e-04	2.584530e-02	1.776822e-02	1.073773e-02	6.516559e-03	1.195522e-02	2.528039e-03	7.829381e-03	7.000000e+00	1.000000e-04	4.005507e-04	2.728138e+00	3.000000e-02	8.468879e-02
12            	6.113643e-03	2.962964e-03	1.383868e-01	1.453229e-02	1.203375e-02	2.916460e-02	2.703052e-01	1.030010e+02	3.080000e+02	7.252007e-02	9.112759e-03	7.258490e-04	7.258490e-04	9.073112e-04	2.612271e-02	1.800142e-02	1.137759e-02	7.168559e-03	1.272678e-02	2.704756e-03	7.785437e-03	7.000000e+00	1.000000e-04	3.853098e-04	3.008021e+00	3.000000e-02	9.091415e-02
