# Region      : all 
# Cells       : 1
# Volume      : 2.500000e+01
# Time        	max(psi4)	max(psi5)	max(psi6)	max(psi7)	max(psi77)	max(psi777)	max(psi8)	max(psiIN)	max(T)	max(Xc)	max(XH2)	max(X1)	max(X2)	max(X3)	max(X4)	max(X5)	max(X6)	max(X7)	max(X77)	max(X777)	max(X8)	max(pH)	max(Hplus)	max(H2)	max(CO2)	max(amm)	max(CH4)
1             	7.859716e-02	6.580835e-02	1.071768e-01	5.695412e-03	8.454094e-03	6.031857e-03	1.967117e-02	1.030002e+02	3.080000e+02	8.076713e-01	4.509699e-03	8.434628e-03	8.434628e-03	1.054328e-02	1.179847e-02	7.348301e-03	6.282284e-03	2.477647e-03	2.509299e-03	1.382461e-03	8.633474e-03	7.000000e+00	1.000000e-04	1.006822e-03	2.698657e-01	3.000000e-02	4.724751e-03
2             	9.650233e-02	5.841171e-02	1.816781e-01	2.099725e-02	3.078571e-02	2.189859e-02	7.476352e-02	1.030006e+02	3.080000e+02	5.396613e-01	5.386205e-03	5.613672e-03	5.613672e-03	7.017090e-03	1.706857e-02	1.326870e-02	6.673040e-03	2.605117e-03	2.850495e-03	1.415920e-03	8.505649e-03	7.000000e+00	1.000000e-04	1.679872e-03	4.817722e-01	3.000000e-02	2.023968e-02
3             	7.154305e-02	2.528554e-02	2.270643e-01	3.586355e-02	5.300749e-02	4.133446e-02	1.425517e-01	1.030011e+02	3.080000e+02	3.774280e-01	6.629556e-03	3.905611e-03	3.905611e-03	4.882013e-03	2.413848e-02	1.934214e-02	7.242228e-03	2.963932e-03	3.786007e-03	1.519434e-03	8.416323e-03	7.000000e+00	1.000000e-04	1.500203e-03	7.248599e-01	3.000000e-02	4.159316e-02
4             	4.002883e-02	1.169921e-02	2.543238e-01	4.266155e-02	6.245671e-02	5.616557e-02	2.001370e-01	1.030013e+02	3.080000e+02	2.793161e-01	7.799259e-03	2.872558e-03	2.872558e-03	3.590697e-03	3.029932e-02	2.268346e-02	7.947361e-03	3.531454e-03	5.505288e-03	1.687493e-03	8.349876e-03	7.000000e+00	1.000000e-04	1.080712e-03	9.989645e-01	3.000000e-02	6.154123e-02
5             	2.178775e-02	7.524621e-03	2.699511e-01	4.467650e-02	6.075106e-02	6.392098e-02	2.482351e-01	1.030014e+02	3.080000e+02	2.200303e-01	8.774685e-03	2.248259e-03	2.248259e-03	2.810324e-03	3.416915e-02	2.457179e-02	8.773226e-03	4.300137e-03	8.100342e-03	1.908020e-03	8.296297e-03	7.000000e+00	1.000000e-04	8.338083e-04	1.297551e+00	3.000000e-02	7.810145e-02
6             	1.397867e-02	5.684465e-03	2.778037e-01	4.381224e-02	5.185230e-02	6.688336e-02	2.924506e-01	1.030015e+02	3.080000e+02	1.842524e-01	9.648377e-03	1.871440e-03	1.871440e-03	2.339300e-03	3.641481e-02	2.584980e-02	9.714924e-03	5.320420e-03	1.139016e-02	2.173271e-03	8.251246e-03	7.000000e+00	1.000000e-04	7.277626e-04	1.616301e+00	3.000000e-02	9.273316e-02
7             	1.063388e-02	4.691086e-03	2.801720e-01	4.044955e-02	4.011941e-02	6.735352e-02	3.354229e-01	1.030016e+02	3.080000e+02	1.627137e-01	1.049709e-02	1.644519e-03	1.644519e-03	2.055648e-03	3.786364e-02	2.680131e-02	1.077174e-02	6.655862e-03	1.483199e-02	2.480783e-03	8.212678e-03	7.000000e+00	1.000000e-04	6.713561e-04	1.952937e+00	3.000000e-02	1.066459e-01
8             	9.000619e-03	4.113441e-03	2.784154e-01	3.486454e-02	2.930499e-02	6.638273e-02	3.774251e-01	1.030016e+02	3.080000e+02	1.497993e-01	1.134319e-02	1.508391e-03	1.508391e-03	1.885489e-03	3.892755e-02	2.756027e-02	1.194424e-02	8.312885e-03	1.784204e-02	2.830688e-03	8.179325e-03	7.000000e+00	1.000000e-04	6.294582e-04	2.305114e+00	3.000000e-02	1.201896e-01
9             	8.098415e-03	3.762025e-03	2.733487e-01	2.788024e-02	2.107445e-02	6.414337e-02	4.185175e-01	1.030016e+02	3.080000e+02	1.421040e-01	1.219229e-02	1.427214e-03	1.427214e-03	1.784017e-03	3.978619e-02	2.820204e-02	1.323243e-02	1.015976e-02	2.017975e-02	3.222898e-03	8.150255e-03	7.000000e+00	1.000000e-04	5.958092e-04	2.669970e+00	3.000000e-02	1.334522e-01
10            	7.557058e-03	3.539029e-03	2.654801e-01	2.088529e-02	1.534896e-02	6.037306e-02	4.590544e-01	1.030017e+02	3.080000e+02	1.375619e-01	1.304694e-02	1.379244e-03	1.379244e-03	1.724054e-03	4.052567e-02	2.877089e-02	1.463434e-02	1.193983e-02	2.191721e-02	3.654068e-03	8.124780e-03	7.000000e+00	1.000000e-04	5.667983e-04	3.044852e+00	3.000000e-02	1.464761e-01
