# Region      : all 
# Cells       : 1
# Volume      : 2.500000e+01
# Time        	max(psi4)	max(psi5)	max(psi6)	max(psi7)	max(psi77)	max(psi777)	max(psi8)	max(psiIN)	max(T)	max(Xc)	max(XH2)	max(X1)	max(X2)	max(X3)	max(X4)	max(X5)	max(X6)	max(X7)	max(X8)	max(pH)	max(Hplus)	max(H2)	max(CO2)	max(amm)	max(CH4)
71            	5.277531e-03	2.398360e-03	3.814560e-02	3.708077e-03	3.729595e-03	7.405042e-03	1.644894e+00	1.030038e+02	3.080000e+02	1.343162e-01	2.552133e-02	1.343102e-03	1.343102e-03	1.678878e-03	5.478927e-02	4.070299e-02	4.257939e-02	2.168805e-02	6.620178e-03	7.000000e+00	1.000000e-04	1.664584e-04	2.398117e+01	3.000000e-02	2.532398e-01
72            	5.247509e-03	2.384058e-03	3.788805e-02	3.684380e-03	3.705382e-03	7.357183e-03	1.669751e+00	1.030039e+02	3.080000e+02	1.343759e-01	2.567483e-02	1.343700e-03	1.343700e-03	1.679625e-03	5.512038e-02	4.096208e-02	4.283668e-02	2.182671e-02	6.625215e-03	7.000000e+00	1.000000e-04	1.654589e-04	2.444993e+01	3.000000e-02	2.537315e-01
73            	5.218390e-03	2.370192e-03	3.763996e-02	3.661464e-03	3.681964e-03	7.310958e-03	1.694605e+00	1.030039e+02	3.080000e+02	1.344344e-01	2.582533e-02	1.344286e-03	1.344286e-03	1.680358e-03	5.544546e-02	4.121647e-02	4.308871e-02	2.196270e-02	6.630424e-03	7.000000e+00	1.000000e-04	1.644927e-04	2.492102e+01	3.000000e-02	2.542052e-01
74            	5.190139e-03	2.356745e-03	3.740079e-02	3.639294e-03	3.659305e-03	7.266289e-03	1.719458e+00	1.030040e+02	3.080000e+02	1.344918e-01	2.597291e-02	1.344861e-03	1.344861e-03	1.681077e-03	5.576463e-02	4.146625e-02	4.333561e-02	2.209607e-02	6.635802e-03	7.000000e+00	1.000000e-04	1.635582e-04	2.539440e+01	3.000000e-02	2.546619e-01
75            	5.162723e-03	2.343700e-03	3.717007e-02	3.617837e-03	3.637373e-03	7.223105e-03	1.744309e+00	1.030041e+02	3.080000e+02	1.345482e-01	2.611763e-02	1.345426e-03	1.345426e-03	1.681782e-03	5.607800e-02	4.171151e-02	4.357751e-02	2.222688e-02	6.641345e-03	7.000000e+00	1.000000e-04	1.626540e-04	2.587004e+01	3.000000e-02	2.551025e-01
76            	5.136109e-03	2.331042e-03	3.694736e-02	3.597062e-03	3.616137e-03	7.181338e-03	1.769158e+00	1.030041e+02	3.080000e+02	1.346034e-01	2.625955e-02	1.345980e-03	1.345980e-03	1.682475e-03	5.638567e-02	4.195232e-02	4.381452e-02	2.235519e-02	6.647048e-03	7.000000e+00	1.000000e-04	1.617786e-04	2.634789e+01	3.000000e-02	2.555280e-01
77            	5.110267e-03	2.318756e-03	3.673226e-02	3.576941e-03	3.595567e-03	7.140924e-03	1.794005e+00	1.030042e+02	3.080000e+02	1.346577e-01	2.639872e-02	1.346523e-03	1.346523e-03	1.683154e-03	5.668775e-02	4.218878e-02	4.404677e-02	2.248104e-02	6.652909e-03	7.000000e+00	1.000000e-04	1.609308e-04	2.682792e+01	3.000000e-02	2.559390e-01
78            	5.085168e-03	2.306827e-03	3.652439e-02	3.557446e-03	3.575635e-03	7.101804e-03	1.818852e+00	1.030042e+02	3.080000e+02	1.347109e-01	2.653521e-02	1.347056e-03	1.347056e-03	1.683820e-03	5.698435e-02	4.242094e-02	4.427436e-02	2.260449e-02	6.658924e-03	7.000000e+00	1.000000e-04	1.601095e-04	2.731010e+01	3.000000e-02	2.563364e-01
79            	5.060783e-03	2.295242e-03	3.632343e-02	3.538551e-03	3.556315e-03	7.063923e-03	1.843697e+00	1.030043e+02	3.080000e+02	1.347632e-01	2.666908e-02	1.347580e-03	1.347580e-03	1.684475e-03	5.727555e-02	4.264891e-02	4.449741e-02	2.272558e-02	6.665089e-03	7.000000e+00	1.000000e-04	1.593134e-04	2.779438e+01	3.000000e-02	2.567207e-01
80            	5.037088e-03	2.283988e-03	3.612903e-02	3.520231e-03	3.537582e-03	7.027227e-03	1.868541e+00	1.030043e+02	3.080000e+02	1.348144e-01	2.680038e-02	1.348093e-03	1.348093e-03	1.685117e-03	5.756147e-02	4.287274e-02	4.471601e-02	2.284436e-02	6.671402e-03	7.000000e+00	1.000000e-04	1.585415e-04	2.828075e+01	3.000000e-02	2.570929e-01
81            	5.014056e-03	2.273053e-03	3.594091e-02	3.502463e-03	3.519412e-03	6.991667e-03	1.893384e+00	1.030044e+02	3.080000e+02	1.348647e-01	2.692915e-02	1.348597e-03	1.348597e-03	1.685747e-03	5.784220e-02	4.309252e-02	4.493026e-02	2.296088e-02	6.677859e-03	7.000000e+00	1.000000e-04	1.577929e-04	2.876915e+01	3.000000e-02	2.574533e-01
82            	4.991663e-03	2.262425e-03	3.575878e-02	3.485226e-03	3.501784e-03	6.957195e-03	1.918226e+00	1.030045e+02	3.080000e+02	1.349141e-01	2.705547e-02	1.349092e-03	1.349092e-03	1.686365e-03	5.811783e-02	4.330832e-02	4.514027e-02	2.307519e-02	6.684457e-03	7.000000e+00	1.000000e-04	1.570665e-04	2.925956e+01	3.000000e-02	2.578027e-01
83            	4.969888e-03	2.252094e-03	3.558239e-02	3.468499e-03	3.484676e-03	6.923767e-03	1.943067e+00	1.030045e+02	3.080000e+02	1.349625e-01	2.717937e-02	1.349577e-03	1.349577e-03	1.686972e-03	5.838846e-02	4.352021e-02	4.534613e-02	2.318732e-02	6.691193e-03	7.000000e+00	1.000000e-04	1.563615e-04	2.975195e+01	3.000000e-02	2.581417e-01
84            	4.948708e-03	2.242049e-03	3.541147e-02	3.452261e-03	3.468068e-03	6.891341e-03	1.967907e+00	1.030046e+02	3.080000e+02	1.350101e-01	2.730091e-02	1.350054e-03	1.350054e-03	1.687567e-03	5.865417e-02	4.372826e-02	4.554793e-02	2.329733e-02	6.698066e-03	7.000000e+00	1.000000e-04	1.556771e-04	3.024628e+01	3.000000e-02	2.584706e-01
85            	4.928103e-03	2.232278e-03	3.524582e-02	3.436494e-03	3.451941e-03	6.859878e-03	1.992746e+00	1.030046e+02	3.080000e+02	1.350568e-01	2.742013e-02	1.350521e-03	1.350521e-03	1.688152e-03	5.891507e-02	4.393255e-02	4.574575e-02	2.340525e-02	6.705071e-03	7.000000e+00	1.000000e-04	1.550124e-04	3.074252e+01	3.000000e-02	2.587902e-01
86            	4.908052e-03	2.222774e-03	3.508519e-02	3.421181e-03	3.436277e-03	6.829340e-03	2.017585e+00	1.030047e+02	3.080000e+02	1.351026e-01	2.753708e-02	1.350980e-03	1.350980e-03	1.688725e-03	5.917123e-02	4.413313e-02	4.593970e-02	2.351112e-02	6.712207e-03	7.000000e+00	1.000000e-04	1.543668e-04	3.124065e+01	3.000000e-02	2.591007e-01
87            	4.888538e-03	2.213527e-03	3.492940e-02	3.406304e-03	3.421059e-03	6.799690e-03	2.042423e+00	1.030047e+02	3.080000e+02	1.351475e-01	2.765181e-02	1.351431e-03	1.351431e-03	1.689288e-03	5.942274e-02	4.433009e-02	4.612983e-02	2.361500e-02	6.719472e-03	7.000000e+00	1.000000e-04	1.537394e-04	3.174062e+01	3.000000e-02	2.594028e-01
88            	4.869540e-03	2.204528e-03	3.477824e-02	3.391848e-03	3.406270e-03	6.770896e-03	2.067259e+00	1.030048e+02	3.080000e+02	1.351916e-01	2.776437e-02	1.351873e-03	1.351873e-03	1.689841e-03	5.966970e-02	4.452348e-02	4.631625e-02	2.371691e-02	6.726862e-03	7.000000e+00	1.000000e-04	1.531297e-04	3.224242e+01	3.000000e-02	2.596967e-01
89            	4.851044e-03	2.195768e-03	3.463153e-02	3.377796e-03	3.391895e-03	6.742925e-03	2.092095e+00	1.030048e+02	3.080000e+02	1.352350e-01	2.787478e-02	1.352307e-03	1.352307e-03	1.690383e-03	5.991217e-02	4.471337e-02	4.649903e-02	2.381690e-02	6.734376e-03	7.000000e+00	1.000000e-04	1.525369e-04	3.274601e+01	3.000000e-02	2.599830e-01
90            	4.833031e-03	2.187239e-03	3.448910e-02	3.364135e-03	3.377918e-03	6.715746e-03	2.116931e+00	1.030049e+02	3.080000e+02	1.352775e-01	2.798311e-02	1.352733e-03	1.352733e-03	1.690916e-03	6.015025e-02	4.489982e-02	4.667825e-02	2.391500e-02	6.742011e-03	7.000000e+00	1.000000e-04	1.519605e-04	3.325137e+01	3.000000e-02	2.602620e-01
91            	4.815486e-03	2.178935e-03	3.435078e-02	3.350850e-03	3.364327e-03	6.689330e-03	2.141765e+00	1.030050e+02	3.080000e+02	1.353192e-01	2.808939e-02	1.353151e-03	1.353151e-03	1.691438e-03	6.038401e-02	4.508289e-02	4.685398e-02	2.401125e-02	6.749766e-03	7.000000e+00	1.000000e-04	1.513999e-04	3.375846e+01	3.000000e-02	2.605341e-01
92            	4.798393e-03	2.170847e-03	3.421642e-02	3.337928e-03	3.351106e-03	6.663650e-03	2.166599e+00	1.030050e+02	3.080000e+02	1.353602e-01	2.819366e-02	1.353561e-03	1.353561e-03	1.691951e-03	6.061353e-02	4.526266e-02	4.702630e-02	2.410569e-02	6.757638e-03	7.000000e+00	1.000000e-04	1.508545e-04	3.426726e+01	3.000000e-02	2.607995e-01
93            	4.781739e-03	2.162968e-03	3.408586e-02	3.325357e-03	3.338244e-03	6.638679e-03	2.191431e+00	1.030051e+02	3.080000e+02	1.354004e-01	2.829596e-02	1.353964e-03	1.353964e-03	1.692455e-03	6.083890e-02	4.543917e-02	4.719527e-02	2.419835e-02	6.765626e-03	7.000000e+00	1.000000e-04	1.503238e-04	3.477775e+01	3.000000e-02	2.610588e-01
94            	4.765509e-03	2.155292e-03	3.395898e-02	3.313124e-03	3.325728e-03	6.614392e-03	2.216263e+00	1.030051e+02	3.080000e+02	1.354399e-01	2.839634e-02	1.354359e-03	1.354359e-03	1.692949e-03	6.106018e-02	4.561248e-02	4.736097e-02	2.428926e-02	6.773727e-03	7.000000e+00	1.000000e-04	1.498073e-04	3.528988e+01	3.000000e-02	2.613120e-01
95            	4.749689e-03	2.147812e-03	3.383562e-02	3.301218e-03	3.313546e-03	6.590765e-03	2.241094e+00	1.030052e+02	3.080000e+02	1.354786e-01	2.849482e-02	1.354748e-03	1.354748e-03	1.693434e-03	6.127745e-02	4.578266e-02	4.752347e-02	2.437847e-02	6.781940e-03	7.000000e+00	1.000000e-04	1.493045e-04	3.580365e+01	3.000000e-02	2.615597e-01
96            	4.734268e-03	2.140522e-03	3.371568e-02	3.289628e-03	3.301686e-03	6.567776e-03	2.265924e+00	1.030052e+02	3.080000e+02	1.355166e-01	2.859144e-02	1.355129e-03	1.355129e-03	1.693911e-03	6.149078e-02	4.594975e-02	4.768282e-02	2.446600e-02	6.790264e-03	7.000000e+00	1.000000e-04	1.488149e-04	3.631902e+01	3.000000e-02	2.618019e-01
97            	4.719231e-03	2.133416e-03	3.359901e-02	3.278344e-03	3.290139e-03	6.545401e-03	2.290752e+00	1.030053e+02	3.080000e+02	1.355540e-01	2.868625e-02	1.355503e-03	1.355503e-03	1.694379e-03	6.170025e-02	4.611383e-02	4.783911e-02	2.455189e-02	6.798695e-03	7.000000e+00	1.000000e-04	1.483381e-04	3.683597e+01	3.000000e-02	2.620390e-01
98            	4.704569e-03	2.126488e-03	3.348552e-02	3.267354e-03	3.278894e-03	6.523621e-03	2.315580e+00	1.030054e+02	3.080000e+02	1.355906e-01	2.877928e-02	1.355870e-03	1.355870e-03	1.694838e-03	6.190593e-02	4.627493e-02	4.799238e-02	2.463617e-02	6.807234e-03	7.000000e+00	1.000000e-04	1.478737e-04	3.735448e+01	3.000000e-02	2.622713e-01
99            	4.690268e-03	2.119732e-03	3.337508e-02	3.256650e-03	3.267941e-03	6.502416e-03	2.340407e+00	1.030054e+02	3.080000e+02	1.356266e-01	2.887056e-02	1.356231e-03	1.356231e-03	1.695288e-03	6.210788e-02	4.643312e-02	4.814270e-02	2.471887e-02	6.815878e-03	7.000000e+00	1.000000e-04	1.474212e-04	3.787452e+01	3.000000e-02	2.624990e-01
